time,turn,box,behind,grade,comments,distance,raceDate,dogName,start,schedule,weight,raceNumber,track,stretch,finish
32.11,8,5,17.0,D,Never A Threat-inside,550,2018-02-02,Br Bandit,8,E,67.0,5,DerbyLane,8,8
30.57,1,2,2.5,A,Set Game Pace-inside,550,2018-02-02,Hi Noon Viper,1,E,76.0,6,DerbyLane,1,1
30.74,2,1,2.5,A,Closest Threat-inside,550,2018-02-02,Tiznow Alex,5,E,83.0,6,DerbyLane,2,2
30.93,5,8,5.0,A,Stretch Gain-showed-md,550,2018-02-02,Pj Strollinnolan,2,E,69.5,6,DerbyLane,5,3
31.19,3,5,4.0,C,Lacked Late Speed-rail,550,2018-02-02,Sallysoulsmasher,3,A,58.5,9,DerbyLane,2,4
31.2,5,1,4.0,C,Slight Bump 1st-gained,550,2018-02-02,Kaias Sarah,7,A,63.5,9,DerbyLane,6,5
31.22,1,3,4.5,C,Faded In Stretch-midtk,550,2018-02-02,Had To Be Me,1,A,82.5,9,DerbyLane,1,6
31.5,7,7,8.5,C,Sought Rail Early-crwd,550,2018-02-02,Imark Jethrotull,4,A,69.0,9,DerbyLane,5,7
31.99,8,4,15.0,C,Blocked-bumped-faded,550,2018-02-02,Softballprincess,6,A,60.0,9,DerbyLane,8,8
30.47,1,3,2.5,A,Won With Ease-rail,550,2018-02-02,Po Dunk,2,A,76.5,10,DerbyLane,1,1
30.65,2,6,2.5,A,Closest Threat-midtrac,550,2018-02-02,Fly Donald Trump,4,A,79.0,10,DerbyLane,3,2
30.97,3,6,6.0,A,Early Gain Rail-crowde,550,2018-02-02,Raiders Rossi,6,E,73.5,6,DerbyLane,3,4
31.0,4,3,6.0,A,Close Qtrs 1st Tn-wknd,550,2018-02-02,Ww's Malort,3,E,71.5,6,DerbyLane,4,5
31.47,6,5,12.0,A,Blocked 1st Turn-insid,550,2018-02-02,Flyin Full House,4,E,76.0,6,DerbyLane,6,6
31.66,7,4,15.0,A,Sought Rail Early-blck,550,2018-02-02,Ctw Ashley Green,7,E,63.0,6,DerbyLane,7,7
94.0,0,7,0.0,A,,550,2018-02-02,Barts Nitro,0,E,0.0,6,DerbyLane,0,8
30.85,2,4,2.0,D,Sought Rail Early-drov,550,2018-02-02,Rck Baron,6,E,79.5,7,DerbyLane,4,1
30.97,1,3,2.0,D,Overtaken-placed-rail,550,2018-02-02,Lk's Happy Days,2,E,60.0,7,DerbyLane,1,2
31.17,6,2,4.5,D,From Last Place-midtrc,550,2018-02-02,Pj Stone Cold,8,E,77.5,7,DerbyLane,7,3
30.87,3,8,6.0,A,Varied Little-showed-m,550,2018-02-02,Revilayshun,3,A,74.5,10,DerbyLane,4,3
30.89,4,4,6.0,A,Quick Start-crowded-ra,550,2018-02-02,Somerset Ray,1,A,70.0,10,DerbyLane,2,4
31.02,6,7,8.0,A,Shut Off 1st Tn-gainin,550,2018-02-02,Tmc's Moonbeam,5,A,74.5,10,DerbyLane,8,5
31.03,5,1,8.0,A,Lacked Late Speed-wide,550,2018-02-02,Austin Reynolds,7,A,74.0,10,DerbyLane,5,6
31.54,8,2,15.0,A,Off Slow-crowded-rail,550,2018-02-02,Pj Big Ben,8,A,67.0,10,DerbyLane,7,7
31.83,7,5,19.0,A,Crowded 1st Turn-faded,550,2018-02-02,Blutoogetcrackin,6,A,78.5,10,DerbyLane,6,8
30.73,2,4,2.0,D,From Far Back-inside,550,2018-02-02,Kb's Koda,7,A,74.0,11,DerbyLane,3,1
30.88,1,1,2.0,D,Overtaken-placed-mid,550,2018-02-02,Braska Luke,4,A,71.5,11,DerbyLane,1,2
31.19,3,7,5.0,D,Outnodded For Show-wd,550,2018-02-02,Yolo Cadiz,3,E,76.5,7,DerbyLane,3,4
31.2,4,8,5.0,D,Close Qtrs Both Turns,550,2018-02-02,Slow It Down,4,E,69.5,7,DerbyLane,5,5
31.36,5,6,7.0,D,Weakened Backstretch,550,2018-02-02,Ww's Orrick Doc,1,E,67.5,7,DerbyLane,2,6
31.41,7,5,8.0,D,Crowded 1st Tn-bumped,550,2018-02-02,Killer Octavius,7,E,80.5,7,DerbyLane,6,7
31.65,8,1,11.0,D,Blocked-bumped 1st Tn,550,2018-02-02,Par Clover,5,E,65.5,7,DerbyLane,8,8
30.42,1,1,6.0,B,Extending Lead-inside,550,2018-02-02,Sh Azahara,1,E,75.0,8,DerbyLane,1,1
31.3,3,2,8.0,D,Off Last-showed-midtrk,550,2018-02-02,Dark Kestrel,8,A,63.5,11,DerbyLane,5,3
31.33,6,8,8.5,D,Sought Rail 1st-gainin,550,2018-02-02,Lagro Henry,5,A,80.0,11,DerbyLane,7,4
31.35,4,5,9.0,D,Swung Wide 2nd Turn,550,2018-02-02,B's Dj Mc Doggle,6,A,73.0,11,DerbyLane,6,5
31.44,8,6,10.0,D,Shuffled Back 1st Turn,550,2018-02-02,Windy Milley,2,A,59.0,11,DerbyLane,8,6
31.58,7,3,12.0,D,Crowded Both Turns-ins,550,2018-02-02,Dr Kubiac,3,A,61.0,11,DerbyLane,4,7
31.68,5,7,13.0,D,Weakened Backstretch,550,2018-02-02,Fiesta Zafra,1,A,74.0,11,DerbyLane,2,8
30.4,1,2,5.0,B,Increasing Lead-midtra,550,2018-02-02,Pondas Top Agent,1,A,73.5,12,DerbyLane,1,1
30.83,2,3,6.0,B,Evenly To Place-midtrk,550,2018-02-02,Amazing Carly,2,E,69.0,8,DerbyLane,2,2
30.87,3,2,6.5,B,Early Gain Midtrack-sh,550,2018-02-02,Pj Devastated,6,E,61.0,8,DerbyLane,3,3
30.99,5,4,8.0,B,Off Last-cut In-gainin,550,2018-02-02,G's Billy S,8,E,77.0,8,DerbyLane,7,4
31.01,4,6,8.5,B,Lacked Late Speed-ins,550,2018-02-02,Wrecker,5,E,74.5,8,DerbyLane,4,5
31.08,6,8,9.5,B,Carried Wide 1st Turn,550,2018-02-02,Debbie Woods,3,E,55.0,8,DerbyLane,6,6
31.15,7,7,10.0,B,Close Qtrs 1st Tn-fade,550,2018-02-02,Limitless,4,E,73.0,8,DerbyLane,5,7
31.26,8,5,11.0,B,Shut Off 1st Turn-insi,550,2018-02-02,Uhnyehlayturr,7,E,75.0,8,DerbyLane,8,8
31.24,2,2,0.5,C,Sought Rl Erly-came On,550,2018-02-02,Ozark Fred,6,E,73.0,9,DerbyLane,4,1
30.74,3,3,5.0,B,From Last Place-outsid,550,2018-02-02,Hail Cadence,8,A,80.5,12,DerbyLane,3,2
30.83,2,1,6.0,B,Early Gain Inside-shwd,550,2018-02-02,Ww Real Racin,7,A,69.5,12,DerbyLane,2,3
31.14,8,6,10.0,B,Shut Off 1st Turn-gain,550,2018-02-02,Yolo Caitlyn,3,A,64.5,12,DerbyLane,8,4
